GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model.mt,Channel,143,0,0,0,60,0,39,0,39,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model.mt,MobileTerminal,205,0,4,0,81,0,51,0,49,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model.mt,VmsBillingDto,86,0,0,0,36,0,18,0,18,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,CustomCode,29,0,0,0,12,0,7,0,7,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,FishingLicence,73,0,0,0,31,0,21,0,21,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,PollTypeEnum,64,0,0,0,7,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,SimpleCreatePoll,41,0,0,0,17,0,11,0,11,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,Note,38,0,0,0,16,0,11,0,11,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,AssetBO,41,0,0,0,17,0,11,0,11,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,AssetIdentifier,94,0,0,0,10,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,AssetMTEnrichmentResponse,217,0,0,0,87,0,45,0,45,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,ContactInfo,122,0,0,0,52,0,35,0,35,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,CustomCodesPK,148,0,14,0,34,0,20,0,13,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,AssetListResponse,37,0,0,0,13,0,7,0,7,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,CreatePollResultDto,34,0,0,0,13,0,7,0,7,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,SanePollDto,87,0,0,0,37,0,25,0,25,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,PollType,70,0,0,0,9,0,3,0,3,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,AssetMTEnrichmentRequest,183,0,0,0,74,0,37,0,37,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model,AssetDTO,409,0,0,0,175,0,117,0,117,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client,AssetClient,1176,0,4,0,254,0,32,0,30,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model.search,SearchFields,339,0,4,0,46,0,10,0,8,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model.search,SearchBranch,47,0,0,0,16,0,8,0,8,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model.search,SearchLeaf,56,0,2,0,24,0,11,0,10,0
asset-client,eu.europa.ec.fisheries.uvms.asset.client.model.search,SearchFieldType,104,0,0,0,2,0,1,0,1,0
