GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
asset-model,eu.europa.ec.fisheries.uvms.asset.remote.dto.search,SearchFields,351,0,4,0,47,0,10,0,8,0
asset-model,eu.europa.ec.fisheries.uvms.asset.remote.dto.search,SearchBranch,47,0,0,0,16,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.uvms.asset.remote.dto.search,SearchFieldType,104,0,0,0,2,0,1,0,1,0
asset-model,eu.europa.ec.fisheries.uvms.asset.remote.dto.search,SearchLeaf,56,0,2,0,24,0,11,0,10,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,GetFlagStateByGuidAndDateRequest,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,GetAssetGroupListByAssetGuidRequest,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,UpsertAssetModuleRequest,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,AssetModuleService,77,0,0,0,24,0,9,0,9,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,UpsertFishingGearModuleRequest,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,UpsertAssetModuleResponse,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,UpsertFishingGearModuleResponse,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,GetAssetModuleRequest,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,FlagStateTypeResponse,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,AssetModuleMethod,150,0,0,0,17,0,3,0,3,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,AssetGroupListByUserRequest,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,AssetListGroupByFlagStateRequest,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,PingRequest,18,0,0,0,4,0,4,0,4,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,GetAssetModuleResponse,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,AssetModuleFaultException,30,0,0,0,13,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,PingResponse,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,AssetModuleRequest,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,ObjectFactory,63,0,0,0,17,0,16,0,16,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,AssetListModuleRequest,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset.module,GetAssetFromAssetIdAndDateRequest,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.wsdl.asset,AssetHistoryFaultException,30,0,0,0,13,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.wsdl.asset,AssetDataSourceQueueService,77,0,0,0,24,0,9,0,9,0
asset-model,eu.europa.ec.fisheries.wsdl.asset,AssetFaultException,30,0,0,0,13,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,UpdatedDNIDListRequest,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,ConfigRequest,18,0,0,0,4,0,4,0,4,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,TerminalSystemListRequest,18,0,0,0,4,0,4,0,4,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,TerminalSystemConfiguration,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,Capability,36,0,2,0,10,0,8,0,7,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,UpdatedDNIDListResponse,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,OceanRegionType,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,OceanRegions,36,0,2,0,10,0,8,0,7,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,ConfigList,36,0,2,0,10,0,8,0,7,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,ConfigResponse,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,TerminalSystemListResponse,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,ComchannelNameRequest,25,0,0,0,7,0,6,0,6,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,ObjectFactory,75,0,0,0,20,0,19,0,19,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,UpsertPluginListResponse,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,CapabilityConfiguration,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,CapabilityOption,18,0,0,0,4,0,4,0,4,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,ComchannelNameResponse,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,UpsertPluginListRequest,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,LandEarthStationType,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.config.v1,TerminalSystemType,46,0,0,0,16,0,12,0,12,0
asset-model,eu.europa.ec.fisheries.uvms.mobileterminal.model.validator,MobileTerminalDataSourceRequestValidator,39,127,8,22,13,28,8,15,3,5
asset-model,eu.europa.ec.fisheries.uvms.mobileterminal.model.validator,PollDataSourceRequestValidator,44,275,13,35,18,62,14,23,3,8
asset-model,eu.europa.ec.fisheries.uvms.mobileterminal.model.mapper,MobileTerminalDataSourceResponseMapper,310,0,6,0,71,0,18,0,15,0
asset-model,eu.europa.ec.fisheries.uvms.mobileterminal.model.mapper,MobileTerminalModuleResponseMapper,100,0,6,0,25,0,10,0,7,0
asset-model,eu.europa.ec.fisheries.uvms.mobileterminal.model.mapper,PollDataSourceResponseMapper,161,0,6,0,35,0,10,0,7,0
asset-model,eu.europa.ec.fisheries.uvms.mobileterminal.model.mapper,MobileTerminalGenericMapper,77,0,8,0,19,0,9,0,5,0
asset-model,eu.europa.ec.fisheries.uvms.mobileterminal.model.mapper,MobileTerminalModuleRequestMapper,51,0,0,0,15,0,5,0,5,0
asset-model,eu.europa.ec.fisheries.uvms.mobileterminal.model.mapper,MobileTerminalDataSourceRequestMapper,16,0,0,0,5,0,2,0,2,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.polltypes.v1,PollSearchCriteria,36,0,2,0,10,0,8,0,7,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.polltypes.v1,PollRequestType,29,0,2,0,7,0,6,0,5,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.polltypes.v1,PollResponseType,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.polltypes.v1,ListCriteria,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.polltypes.v1,SetStatusPollProgramRequest,32,0,0,0,10,0,8,0,8,0
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.polltypes.v1,PollMobileTerminal,23,9,0,0,8,2,6,2,6,2
asset-model,eu.europa.ec.fisheries.schema.mobileterminal.polltypes.v1,GetPollListRequest,25,0,0,0,7,0,6,0,6,0
