GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
asset-module,eu.europa.ec.fisheries.uvms.asset.exception,AssetServiceException,20,0,0,0,8,0,4,0,4,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.timer,AssetRemapTask,92,0,10,0,17,0,7,0,2,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.timer,PollTimerTask,146,0,16,0,33,0,12,0,4,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.timer,AssetExecutorServiceBean,111,0,2,0,39,0,9,0,8,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.timer,PluginTimerTask,33,0,2,0,11,0,4,0,3,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.dao,PollDaoBean,243,0,18,0,49,0,17,0,8,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.dao,TerminalDaoBean,1133,0,116,0,236,0,84,0,26,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.dao,PollProgramDaoBean,79,0,2,0,18,0,9,0,8,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.dao,ChannelDaoBean,63,0,6,0,15,0,6,0,3,0
asset-module,eu.europa.ec.fisheries.uvms.mobileterminal.dao,MobileTerminalPluginDaoBean,44,0,0,0,12,0,5,0,5,0
asset-module,eu.europa.ec.fisheries.uvms.asset.bean,AssetConfigHelper,35,0,2,0,7,0,5,0,4,0
asset-module,eu.europa.ec.fisheries.uvms.asset.bean,AssetServiceBean,2058,0,298,0,445,0,210,0,61,0
asset-module,eu.europa.ec.fisheries.uvms.asset.bean,CustomCodesServiceBean,325,0,32,0,72,0,32,0,16,0
asset-module,eu.europa.ec.fisheries.uvms.asset.bean,AuditServiceBean,89,0,0,0,29,0,6,0,6,0
asset-module,eu.europa.ec.fisheries.uvms.asset.bean,AssetFilterServiceBean,446,0,80,0,104,0,54,0,14,0
asset-module,eu.europa.ec.fisheries.uvms.asset.bean,ConfigServiceBean,105,0,6,0,21,0,9,0,6,0
asset-module,eu.europa.ec.fisheries.uvms.asset.message,AssetConsumer,20,0,0,0,5,0,3,0,3,0
asset-module,eu.europa.ec.fisheries.uvms.asset.message,EventStreamSender,87,0,4,0,28,0,8,0,6,0
asset-module,eu.europa.ec.fisheries.uvms.asset.message,AssetProducer,24,0,0,0,6,0,4,0,4,0
asset-module,eu.europa.ec.fisheries.uvms.asset.message,ExchangeProducer,16,0,0,0,3,0,3,0,3,0
asset-module,eu.europa.ec.fisheries.uvms.asset.message,MessageConsumerBean,135,0,12,0,33,0,10,0,3,0
asset-module,eu.europa.ec.fisheries.uvms.asset.message,AuditProducer,12,0,0,0,3,0,3,0,3,0
asset-module,eu.europa.ec.fisheries.uvms.asset.domain.dao,AssetDao,1550,0,146,0,337,0,122,0,45,0
